FID,osm_id,amenity,name,operator,ref-FR-GendarmerieNationale,official_name,police-FR,seasonal,emergency,military,office,phone,contact-phone,emergency_phone,fax,contact-fax,email,contact-email,opening_hours,wheelchair,short_name,alt_name,old_name,operator-type,website,contact-website,url,addr-housename,addr-housenumber,addr-street,addr-city,addr-postcode,addr-full,wikidata,wikipedia,description,source,note,osm_version,osm_timestamp,the_geom,osm_original_geom,osm_type
police_point.232485773,232485773,police,Regionalpolizei Lenzburg,,,,,,,,,,,,,,,,,,,,,,,,,,27,Niederlenzerstrasse,,,,,,,,,6,2024-02-04T20:05:47Z,POINT (2655976.1827676925 1249052.7505818494),"SRID=3857;POLYGON((910558.4803688688 6005963.365536529,910584.2619629364 6005941.710206792,910592.5107372042 6005943.650469513,910595.3048564232 6005934.837076243,910614.4184129923 6005938.717599039,910615.0418021408 6005949.273945273,910615.3534967151 6005954.535680287,910615.8766983219 6005967.657145887,910589.5607706982 6005965.683991896,910558.4803688688 6005963.365536529))",way
police_point.233314297,233314297,police,Kantonspolizei / Police cantonale,,,,,,,,,,,,,,,,,yes,,,,,,,,,20,Rue de l'Hôpital / Spitalstrasse,Biel/Bienne,2502,,,,,,,6,2026-04-21T14:02:11Z,POINT (2585097.462815581 1220578.467592723),"SRID=3857;POLYGON((806160.3123115142 5964291.842368758,806170.6093644125 5964275.75634757,806234.1727936554 5964316.48693092,806229.5419028385 5964323.703578868,806224.8219564288 5964331.083875816,806219.2003221438 5964327.467365888,806218.4767454537 5964328.596502309,806215.9831888598 5964326.992801348,806213.7790629423 5964325.585472173,806214.4915076832 5964324.472700429,806210.2168392368 5964321.723500263,806209.6602417829 5964322.590807365,806210.3726865238 5964323.049007379,806209.9942002551 5964323.638121718,806160.3123115142 5964291.842368758))",way
police_point.234106201,234106201,police,Kantonale Polizei,,,,,,,,,,,,,,,,,limited,,,,,,,,,4,Vordere Gasse,Riggisberg,3132,,,,,,,4,2018-10-23T17:57:29Z,POINT (2602873.7801356274 1184254.5453528154),"SRID=3857;POLYGON((832243.2927686101 5911032.054691695,832245.8531168983 5911014.960572868,832268.2172025986 5911018.327347197,832267.3266466724 5911024.23140386,832270.5771758035 5911025.109693622,832269.8647310624 5911029.647525462,832266.5362782875 5911029.517408388,832265.6568543104 5911035.405207959,832258.9888168118 5911034.4130646605,832258.7105180848 5911036.218440254,832254.2243426059 5911035.53532512,832254.4915093838 5911033.729949667,832243.2927686101 5911032.054691695))",way
police_point.235948005,235948005,police,Polizeiposten Hochdorf,Luzerner Polizei,,,,,,,,+41 41 289 25 10,,,,,,,,,,,,,,,,,8,Hohenrainstrasse,Hochdorf,6280,,,,,,,4,2023-01-15T20:48:45Z,POINT (2664961.411642653 1224297.0723928772),"SRID=3857;POLYGON((923418.0968133585 5969284.969868653,923422.1154469763 5969267.171758844,923462.3463109488 5969276.24273206,923455.1216759963 5969308.236817822,923438.7131830535 5969304.536369949,923441.9191843884 5969290.356792233,923418.0968133585 5969284.969868653))",way
police_point.237108191,237108191,police,Police Municipal,,,,,,,,,+41 27 305 15 84,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,6,2023-02-20T12:10:01Z,POINT (2585937.911554988 1117548.9152919725),"SRID=3857;POLYGON((807765.6840840911 5813936.973624534,807781.0907016168 5813925.488230062,807800.9278348763 5813952.07838873,807785.5323492996 5813963.563817766,807765.6840840911 5813936.973624534))",way
police_point.240226300,240226300,police,Kantonspolizei Gams,,,,,,,,,+41 58 229 61 80,,,,,,,,,,,,,,,,,78,Haagerstrasse,Gams,9473,,,,,,,4,2025-06-26T18:26:40Z,POINT (2752666.173751891 1230209.382331396),"SRID=3857;POLYGON((1052377.8418471373 5975642.846292305,1052382.2278350748 5975613.860214009,1052401.374787491 5975617.006239313,1052402.2764753667 5975611.467924697,1052411.8610835238 5975613.040936773,1052406.6847272017 5975647.204863032,1052377.8418471373 5975642.846292305))",way
police_point.243590210,243590210,police,Polizeistation Gossau,Kantonspolizei St. Gallen,,,,,,,,+41 58 229 77 88,,,,,,,,,,,,,,,,,4,Sonnenstrasse,Gossau SG,9200,,,,,,,5,2021-05-13T21:03:10Z,POINT (2736472.3243123177 1253153.1174475045),"SRID=3857;POLYGON((1029374.860193259 6010066.884366807,1029394.7195904163 6010066.012478004,1029396.2335354912 6010100.493279388,1029376.3852702826 6010101.365171661,1029375.8175408797 6010088.517107626,1029374.860193259 6010066.884366807))",way
police_point.244103088,244103088,police,Polizeiposten Diessenhofen,Kantonspolizei Thurgau,,,,,,,,+41 58 345 28 00,,,,,,,,,,,,,https://kapo.tg.ch/ueber-uns/aussendienst/polizeiposten-diessenhofen.html/2154,,,,15,Basadingerstrasse,Diessenhofen,8253,,,,,Bing,,4,2019-04-02T21:04:32Z,POINT (2698502.9432802205 1282696.286214091),"SRID=3857;POLYGON((974102.5734162773 6055007.492704065,974129.2344343221 6055007.161974364,974129.4014135583 6055020.473854812,974123.5682722407 6055020.540000852,974123.7129875787 6055032.247858115,974102.8851108514 6055032.495906113,974102.5734162773 6055007.492704065))",way
police_point.246650997,246650997,police,Stützpunkt Schmerikon,Kantonale Polizei,,,,,,,,,,,,,,,,,,,,,,,,,61,St. Gallerstrasse,Schmerikon,8716,,,,,,,2,2019-11-16T18:04:58Z,POINT (2715274.4824418253 1232058.363460173),,node
police_point.258341659,258341659,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2014-01-25T18:03:04Z,POINT (2648380.4294084185 1231711.6393511642),"SRID=3857;POLYGON((899167.0232926041 5980445.760325465,899177.8546790583 5980424.0538241975,899192.693567181 5980431.4641946675,899196.2335269883 5980424.381716562,899212.5529643386 5980432.529845806,899208.6456502116 5980440.350089714,899192.270553116 5980432.16916387,899187.494946961 5980441.743634965,899204.2485303254 5980450.104911162,899195.7325892797 5980467.138986976,899169.4500575033 5980454.006842804,899172.2664406204 5980448.383471285,899167.0232926041 5980445.760325465))",way
police_point.258616773,258616773,police,Polizeihauptposten Binningen,Polizei Basel-Landschaft,,,,,,,,+41 61 553 43 17,,,,,,,,,,,,,,,,,7,Oberwilerstrasse,Binningen,4102,,,,,,,5,2025-02-08T07:26:35Z,POINT (2610041.4565317985 1265181.2745875055),,node
police_point.259250557,259250557,police,,,,,,,,,,+41 33 356 86 61,,,,,,,,,,,,,,,,,8,Amthausgasse,Meiringen,3860,,,,,,,6,2019-11-16T16:29:02Z,POINT (2657214.785399218 1175731.484310325),,node
police_point.264064249,264064249,police,Polizeiposten Wallisellen,Kantonspolizei Zürich,,,,,,,,+41 44 839 10 20,,,,,,,,,,Kapo,,,,,,,16,Neugutstrasse,Wallisellen,8304,,,,,,,4,2022-02-18T04:50:43Z,POINT (2687401.2037468813 1251856.3753597655),,node
police_point.264077058,264077058,police,Dogana di Gaggiolo,Polizia di Stato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2024-09-10T10:05:24Z,POINT (2714590.830136163 1077690.463137594),"SRID=3857;POLYGON((992218.6962160255 5754935.508169735,992220.3994042345 5754921.542302284,992244.5446017875 5754924.482483083,992245.5687411029 5754916.045445139,992246.3479775386 5754909.669734278,992266.6081248629 5754912.146513643,992265.9068120709 5754917.819139952,992264.671165723 5754927.9819386685,992274.4338850656 5754929.164403426,992272.9867316852 5754940.989059639,992263.0347692083 5754939.774634763,992261.8881784532 5754949.234369762,992261.153469814 5754955.2745436635,992240.7486071514 5754952.7977522835,992241.5612394343 5754946.166346499,992242.496323157 5754938.4163966095,992218.6962160255 5754935.508169735))",way
police_point.264077059,264077059,police,Dogana di Stabio,,,,,,,,,,,,,,,,,,,,,,,,,,59,Via Gaggiolo,Stabio,6855,,,,,,,3,2025-10-28T15:21:05Z,POINT (2714648.7404998415 1077686.3231605194),"SRID=3857;POLYGON((992302.1079104767 5754955.833819233,992305.347307659 5754930.554598679,992306.8055929884 5754919.161395721,992309.844615087 5754895.448240306,992377.482337693 5754904.124946844,992374.9108574557 5754924.162898167,992343.9640390151 5754920.200046156,992343.2070664775 5754926.080407837,992341.581801912 5754938.799899127,992338.7876826933 5754960.531735396,992302.1079104767 5754955.833819233))",way
police_point.264796684,264796684,police,Polizeiposten Dietlikon,Kantonspolizei Zürich,,,,,,,,,,,,,,,,,,,,,,,,,60,Bahnhofstrasse,Dietlikon,8305,,,,,,,5,2022-02-17T03:36:31Z,POINT (2689036.2268644474 1253317.933242769),,node
police_point.265066440,265066440,police,Gendarmerie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2025-03-04T12:21:06Z,POINT (2541073.9723026254 1150824.191541777),,node
police_point.265629689,265629689,police,Polizeistützpunkt Oberbüren,Kantonspolizei St.Gallen,,,,,,,,,,,,,,,,,,,,,,,,,2,Industrie Haslen,Oberbüren,9245,,,,,bing,,4,2021-05-13T21:03:10Z,POINT (2729349.6496296884 1257192.8932845662),"SRID=3857;POLYGON((1018993.3825930634 6016297.273571764,1019001.2751449606 6016293.73411941,1018994.2508850915 6016278.078233568,1019012.0620036186 6016270.093907317,1019033.0679915311 6016316.91344297,1019029.505767826 6016318.510316268,1019029.5948234185 6016318.691405014,1019015.3793244441 6016325.062438655,1019008.3773284733 6016309.472346543,1019000.4513807287 6016313.028267933,1018993.3825930634 6016297.273571764))",way
police_point.267924166,267924166,police,Stadtpolizei Aarau,"Einwohnergemeinde Aarau, Abteilung Sicherheit",,,,,,,,+41 62 836 06 00,,,+41 62 836 06 68,,stadtpolizei@aarau.ch,,"Mo-Fr 07:00-11:30,14:00-17:00; Sa 07:00-11:30",,,,,,https://www.aarau.ch/politik-verwaltung/einwohnergemeinde/sicherheit.html/277,,,,67,Bahnhofstrasse,Aarau,5000,,,,,,,11,2024-05-04T20:42:39Z,POINT (2646198.2880575084 1249214.581211562),,node
police_point.271215645,271215645,police,Wache Wasserschutzpolizei,Stadtpolizei Zürich,,,,,,,,+41 44 411 84 42,,,,,,,"Tu,Th 07:30-13:00; We,Fr 13:00-16:30",yes,,Dienstgebäude Tiefenbrunnen Wasserschutzpolizei,,,,,,,260,Bellerivestrasse,Zürich,8008,,,,Städtische Seepolizei und Gewässerschutz,,,7,2022-09-01T06:26:22Z,POINT (2684910.4927521744 1244740.4801590177),,node
police_point.274598238,274598238,police,Polizei Basel Landschaft,,,,,,,,,+41 61 553 41 17,,,,,,,,,,,,,,,,,1,Landererstrasse,Reinach BL,4153,,,,,,,7,2025-02-14T06:19:45Z,POINT (2611610.644352668 1260413.0509884674),,node
police_point.274826295,274826295,police,Quartierwache Riesbach,Stadtpolizei Zürich,,,,,,,,+41 44 411 82 63,,,,,,,Mo 07:00-13:00; Tu-Fr 08:00-17:00; Th 08:00-13:00,no,,,,,,,,,3,Riesbachstrasse,Zürich,8008,,,,,,,7,2025-11-03T19:44:51Z,POINT (2684233.0291095614 1246123.8377797734),,node
police_point.281284355,281284355,police,Police du Chablais vaudois - poste d'Ollon,,,,,,,,,+41 24 468 17 37,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2023-09-20T03:27:33Z,POINT (2565799.2702025813 1127325.9256901168),,node
police_point.282951415,282951415,police,Polizeiposten Fällanden,Kantonspolizei Zürich,,,,,,,,+41 44 806 40 60,,,,,,,,,,,,,,,,,10,Schwerzenbachstrasse,Fällanden,8117,,,,,,,4,2022-02-17T23:19:13Z,POINT (2690789.705639652 1247457.2947556807),,node
police_point.283700124,283700124,police,Posten Breitenbach,Kantonspolizei Solothurn,,,,,,,,+41 61 785 77 01,,,,,,,,,,,,,,,,,29,Passwangstrasse,Breitenbach,4226,,,,,,,4,2017-11-05T19:03:37Z,POINT (2607924.4844111265 1250465.0502212213),,node
police_point.283907507,283907507,police,Renens,,,,,,,,,,,,,,,,,,,,,,,,,,35,Rue de Lausanne,Renens,,,,,,,,7,2024-06-20T09:32:02Z,POINT (2534524.52697932 1154270.4412116073),"SRID=3857;POLYGON((733032.3680793424 5866756.616793288,733039.5593184475 5866745.984757199,733043.9341744358 5866739.4793168055,733053.7859493709 5866724.866367508,733069.1146432532 5866735.190907236,733063.9382869313 5866742.8776805885,733068.5803096974 5866746.000939893,733063.2592380375 5866753.898097901,733059.9307852627 5866758.801459828,733057.8936385813 5866761.8114457335,733052.8619975974 5866758.413074624,733047.3294189048 5866766.58535022,733046.0269808626 5866765.695300034,733041.8191041107 5866763.008967293,733032.3680793424 5866756.616793288))",way
police_point.291384182,291384182,police,Polizeiposten Schwyz Hauptposten,Kantonspolizei Schwyz,,,,,,,,+41 41 819 28 37,,,,,kapo@sz.ch,,"Mo-Fr 08:00-11:30,14:00-17:30; Sa 09:30-11:30",,,Kapo SZ,,,https://www.sz.ch/behoerden/sicherheit-polizei/kantonspolizei/standorte/standort-hauptposten-schwyz.html/72-416-411-408-2795-2779/strasse/Bahnhofstrasse%207%2C%206430%20Schwyz/l/de,,,,7,Bahnhofstrasse,Schwyz,6430,,,,,,,8,2022-02-17T00:25:49Z,POINT (2692119.3792832624 1208493.39042544),,node
police_point.291995784,291995784,police,Polizei Basel-Landschaft,,,,,,,,,+41 61 553 40 17,,,,,,,,,,,,,,,,,1,Netzenstrasse,Sissach,4450,,,,,,,10,2025-01-15T14:48:18Z,POINT (2627219.211652573 1257505.5223489369),,node
police_point.292179652,292179652,police,Police Nord Vaudois,,,,,,,,,+41 24 423 66 66,,,,,,,,yes,,,,,,,,,12,Rue du Valentin,Yverdon-les-Bains,1400,,,,,,,4,2017-07-06T19:35:25Z,POINT (2539151.522564835 1181020.473376204),,node
police_point.292179720,292179720,police,Centre de Gendarmerie Mobile,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,5,2022-12-11T22:35:58Z,POINT (2539473.707412706 1179426.3115293891),,node
police_point.292354282,292354282,police,Polizeiposten Weinfelden,Kantonspolizei Thurgau,,,,,,,,+41 58 345 25 00,,,,,,,"Mo-Fr 09:00-11:30, 14:00-16:30; PH off",yes,,,,,https://kapo.tg.ch/ueber-uns/aussendienst/polizeiposten-weinfelden.html/2170,,,,14,Pestalozzistrasse,Weinfelden,8570,,,,,,,7,2020-11-15T20:48:11Z,POINT (2725528.837938419 1269829.5001316133),,node
police_point.299311874,299311874,police,,,,,,,,,,+41 33 356 84 81,,,,,,,,,,,,,,,,,107,Dorfstrasse,Grindelwald,3818,,,,,survey,,4,2019-11-16T15:19:18Z,POINT (2645750.213845526 1163838.7855259571),,node
police_point.300385366,300385366,police,Kantonspolizei Basis Goms,,,,,,,,,+41 27 606 68 70,,,,,,,,,,,,,,,,,645,Furkastrasse,Münster VS,3985,,,,,,,3,2024-08-21T03:50:36Z,POINT (2663305.6343137254 1148794.9926469468),"SRID=3857;POLYGON((919833.4867583752 5858814.8009642605,919841.7911923885 5858809.837358829,919842.403449588 5858810.775108171,919850.3405292813 5858805.407302924,919852.255224523 5858804.049184042,919860.0587208276 5858816.595623596,919854.5595379825 5858819.893917374,919845.3200202466 5858827.719285999,919842.704012213 5858823.644919647,919840.3885668046 5858825.164722746,919833.4867583752 5858814.8009642605))",way
police_point.304000871,304000871,police,Polizeiposten Dagmersellen,Luzerner Polizei,,,,,,,,+41 41 289 27 20,,,,,,,,yes,,LUPOL,,,,,,,2,Gartenweg,Dagmersellen,6252,,,,,,,9,2025-11-19T08:44:48Z,POINT (2641572.378080288 1229307.6887108139),,node
police_point.304645242,304645242,police,Polizeiposten Buchs,Kantonspolizei Zürich,,,,,,,,+41 44 847 60 30,,,,,,,,limited,,,,,https://www.kapo.zh.ch/,,,,11,Badenerstrasse,Buchs ZH,8107,,,,,,,14,2026-03-28T07:24:40Z,POINT (2675191.360956681 1256809.5053044965),,node
police_point.306677531,306677531,police,Polizeiwache Worb,,,,,,,,,+41 31 368 73 41,,,,,,,"Mo,We,Fr 08:00-12:00, 14:00-17:00",,,,,,,,,,50,Bernstrasse,Worb,3076,,,,,,,5,2020-12-24T13:39:11Z,POINT (2609555.5723154587 1197224.6514677727),,node
police_point.307669469,307669469,police,Polizeiposten Stadtpolizei Wädenswil,Stadt Wädenswil,,,,,,,,+41 44 789 74 00,,,,,,,,,,KomPol Wädenswil,,,,,,,4a,Schönenbergstrasse,Wädenswil,8820,,,,Polizeiposten und Fundbüro,+41 44 789 74 00,,7,2022-02-18T04:47:56Z,POINT (2693344.842247512 1231660.7323996248),,node
police_point.320132833,320132833,police,Polizeiposten Stadtpolizei Uster,Stadt Uster,,,,,,,,+41 44 944 76 66,,,,,,,,,,,,,,,,,82,Oberlandstrasse,Uster,8610,,,,,,,12,2024-09-24T15:26:24Z,POINT (2696471.088524749 1245560.4519879874),,node
police_point.323870249,323870249,police,Polizeiposten Oberegg,Kantonspolizei Appenzell I.Rh.,,,,,,,,+41 71 891 33 11,,,,,,,,,,,,,,,,,17,Dorfstrasse,Oberegg,9413,,,,,,,5,2019-02-04T11:16:56Z,POINT (2759476.777806213 1254547.6770481314),,node
police_point.324711565,324711565,police,Polizeidienststelle Rotkreuz / Risch,Zuger Polizei,,,,,,,,+41 41 799 71 20,,,,,,,Mo 16:00-18:00; Tu-Fr 09:45-11:45,,,,,,https://www.zg.ch/behoerden/sicherheitsdirektion/zuger-polizei/polizeidienststellen/polizeidienststelle-rotkreuz-risch,,,,12,Luzernerstrasse,Rotkreuz,6343,,,,,,,10,2021-04-27T17:08:56Z,POINT (2674936.404931699 1221486.2555415235),,node
police_point.329054455,329054455,police,Douane Suisse,,,,,,,,,,,,,,,,,,,,,,,,,,6,Route de Genève,Crassier,,,,,,,,3,2019-09-04T07:09:48Z,POINT (2501867.3977562664 1136618.5298491588),"SRID=3857;POLYGON((686061.732328269 5840451.764308733,686086.434123276 5840428.1112968745,686087.6029779293 5840429.676330486,686092.6680147604 5840424.868289964,686114.108148687 5840449.957255109,686103.710908247 5840454.50715869,686098.779454805 5840448.9085188,686070.8382626158 5840465.80125575,686061.732328269 5840451.764308733))",way
police_point.330356971,330356971,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2024-12-30T11:20:07Z,POINT (2533911.3914230377 1153882.384389985),,node
police_point.331251859,331251859,police,Polizeistation Wil,Kantonspolizei St. Gallen,,,,,,,,+41 58 229 79 79,,,,,infokapo@kapo.sg.ch,,"Mo-Fr 08:00-11:30, 14:00-17:00",,,,,,,,,,69,Bronschhoferstrasse,Wil SG,9500,,,,,,,7,2024-04-16T06:05:10Z,POINT (2720735.2529767104 1258972.2666257494),"SRID=3857;POLYGON((1006326.092832817 6019231.137689252,1006360.7131944537 6019164.260778036,1006379.0809104346 6019173.7628341485,1006344.449416849 6019240.639818788,1006326.092832817 6019231.137689252))",way
police_point.332922858,332922858,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2015-03-16T11:29:26Z,POINT (2611308.021336019 1118374.5339154846),"SRID=3857;POLYGON((844370.8833735925 5815158.017348858,844372.3750547691 5815137.118775232,844386.9356441648 5815138.550623581,844385.143400363 5815158.853936359,844370.8833735925 5815158.017348858))",way
police_point.335780668,335780668,police,Polizeidienststelle Ägerital,Zuger Polizei,,,,,,,,+41 41 723 66 80,,,,,info.polizei@zg.ch,,Mo 16:00-18:00; Tu 09:45-11:45; We 15:30-17:00; Th 09:45-11:45; Fr 09:45-11:45,,,,,,https://www.zg.ch/behoerden/sicherheitsdirektion/zuger-polizei/polizeidienststellen/polizeidienststelle-aegerital,,,,46,Zugerstrasse,Unterägeri,6314,,,,,,,11,2021-03-15T10:24:57Z,POINT (2686364.584606585 1221433.923706008),,node
police_point.336939114,336939114,police,,Schweiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-07-25T19:43:43Z,POINT (2800790.1849965914 1143389.8553525424),"SRID=3857;POLYGON((1118803.1170872066 5846589.462716195,1118812.9132023964 5846571.298872819,1118830.27904296 5846580.663338502,1118820.4829277701 5846598.827201191,1118803.1170872066 5846589.462716195))",way
police_point.342907352,342907352,police,Polizeiposten Riehen,Kantonspolizei,,,,,,,,+41 61 201 74 50,,,,,,,,,,,,,,,,,2,Erlensträsschen,Riehen,4125,,,,,,,4,2020-06-17T17:33:38Z,POINT (2615890.4280122514 1270510.4993482733),,node
police_point.344522055,344522055,police,Polizia Chantunela Samedan,,,,,,,,,+41 81 257 64 50,,,,,,,,,,,,,,,,,1,Bügl da la Nina,Samedan,7503,,,,,,,7,2024-10-06T17:34:56Z,POINT (2786431.3979230574 1156427.3835797966),,node
police_point.345352103,345352103,police,Kantonspolizei Graubünden,,,,,,,,,+41 81 385 15 50,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2025-10-21T09:44:59Z,POINT (2762091.345307831 1176520.533256632),,node
police_point.345419454,345419454,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2015-05-16T05:31:42Z,POINT (2567430.9757732204 1181569.9615040312),"SRID=3857;POLYGON((780572.4809494667 5906970.708698504,780577.5571182469 5906966.823254532,780573.070942768 5906962.0436730925,780580.8410432254 5906953.687540393,780596.0695495658 5906969.5056738295,780598.4517866689 5906967.717394205,780605.3201992507 5906974.886771984,780598.1512240437 5906980.251616346,780593.3756178888 5906975.1793997735,780588.2994491085 5906979.064847459,780585.6166493804 5906977.276565886,780580.239917975 5906981.4546425,780572.4809494667 5906970.708698504))",way
police_point.360027133,360027133,police,Police Riviera,,,,,,,,,,,,,,,,,yes,,,,,http://www.police-riviera.ch/,,,,,,,,,,,,,,5,2023-05-01T11:11:01Z,POINT (2554349.272355592 1145662.985506367),,node
police_point.360433098,360433098,police,Ouchy,,,,,,,,,,,,,,,,,,,,,,,,,,10,Place de la Navigation,Lausanne,1006,,,,,,,4,2026-04-16T11:13:41Z,POINT (2537645.3081583926 1151002.8955022788),,node
police_point.361110667,361110667,police,Guardia di Finanza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2023-08-04T12:33:52Z,POINT (2829657.670953013 1158671.7278422469),"SRID=3857;POLYGON((1161410.4740771465 5867287.943693263,1161428.619154146 5867275.190953508,1161439.1945057714 5867290.452165826,1161429.4429183777 5867297.071300087,1161433.9068299585 5867303.366764929,1161422.6190335923 5867311.361526268,1161411.1865218875 5867295.193990109,1161414.1364883936 5867293.122476114,1161410.4740771465 5867287.943693263))",way
police_point.362688400,362688400,police,Quartierwache Höngg,Stadtpolizei Zürich,,,,,,,,,,,,,,,"Mo-Fr 08:00-12:00, 13:00-17:00; We-Th 08:00-12:00",,,,,,,,,,160,Limmattalstrasse,Zürich,8049,,,,,,,5,2025-03-09T16:16:48Z,POINT (2680193.834485977 1250632.0342829546),,node
police_point.364148847,364148847,police,Kantonspolizei Bern,,,,,,,,,,,,,,,,Mo-Fr 08:00-12:00/14:00-18:00,,,,,,,,,,30,Seestrasse,Spiez,3700,,,,,,,4,2020-10-08T20:26:09Z,POINT (2618442.4647551463 1170849.823001429),,node
police_point.365066388,365066388,police,Police,,,,,,,,,,,,,,,,,,,,,,,,,,16,Hauptstrasse,Brügg BE,2555,,,,,,,5,2021-03-03T11:51:15Z,POINT (2588022.508028413 1219256.1075666079),"SRID=3857;POLYGON((810475.6568999118 5962356.300382578,810489.1265582978 5962355.400550241,810489.3491972793 5962358.738110646,810511.3793245072 5962357.265657369,810512.4702555172 5962373.64262396,810493.8242408092 5962374.886031275,810494.4142341104 5962383.6553299995,810487.0226199218 5962384.146149221,810486.499418315 5962376.211241893,810477.0372615975 5962376.849306339,810475.6568999118 5962356.300382578))",way
police_point.370198600,370198600,police,Polizeiwache Ittigen,Kantonspolizei Bern,,,,,,,,+41 31 368 76 81,,,,,,,,,,,,,,,,,7,Rain,Ittigen,3063,,,,,,,4,2023-03-01T16:17:37Z,POINT (2603039.316519504 1202819.8870507693),,node
police_point.370382841,370382841,police,Gendarmerie de Vevey,,,,,,,,,,,,,,,,,,,,,,,,,,18,Quai Maria-Belgia,Vevey,1800,,,,,,,4,2025-02-16T17:31:16Z,POINT (2553708.733833169 1145672.0401001433),,node
police_point.370444682,370444682,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,1,2009-04-06T22:11:37Z,POINT (2573842.240777398 1161616.4070232697),,node
police_point.371407326,371407326,police,,,,,,,,,,+41 26 305 95 20,,,,,,,,,,,,,,,,,58,Rue des Moines,Romont FR,1680,,,,Poste de gendarmerie,survey,,4,2024-01-11T10:37:20Z,POINT (2560274.522969726 1171909.7316592347),,node
police_point.372582990,372582990,police,Comando Polizia Cantonale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2019-11-16T00:02:42Z,POINT (2721192.642026474 1116228.4412234868),"SRID=3857;POLYGON((1002677.0176607155 5810185.100125235,1002903.3524493964 5810127.778072763,1002905.144693198 5810358.869415321,1002923.4456174844 5810447.580381188,1002873.7192009471 5810461.183772793,1002836.5941507675 5810470.654704373,1002803.7215051363 5810478.485516244,1002756.4218534983 5810489.210684626,1002677.0176607155 5810185.100125235))",way
police_point.372778024,372778024,police,Polizia Comunale Lugano,,,,,,,,,+41 58 866 81 11,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2025-08-04T09:37:54Z,POINT (2717845.92918093 1097243.5619263109),,node
police_point.372778942,372778942,police,Gendarmeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2024-07-13T15:18:07Z,POINT (2717312.753006205 1096172.2438275446),,node
police_point.379547981,379547981,police,Polizeiposten Willisau,Luzerner Polizei,,,,,,,,+41 41 289 27 00,,,,,,,,,,Lupol,,,,,,,17a,Bahnhofstrasse,Willisau,6130,,,,,,,9,2025-08-14T10:31:03Z,POINT (2642179.6919945916 1219097.1666298253),,node
police_point.379880515,379880515,police,Kantonspolizei,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,4,2024-04-11T14:09:26Z,POINT (2600107.396049422 1199814.847650059),"SRID=3857;POLYGON((828209.386116836 5933813.618921387,828213.5049379953 5933795.191919705,828219.1933639749 5933796.561713182,828215.4975568807 5933813.667842683,828230.5034242396 5933817.483704549,828234.2437591301 5933838.829731841,828225.360463765 5933842.042240084,828209.386116836 5933813.618921387))",way
police_point.383897745,383897745,police,Polizeiposten Stäfa,Kantonspolizei Zürich,,,,,,,,+41 44 928 17 00,,,,,,,"Mo-Fr 08:00-12:00,13:00-17:00",,,Kapo,,,,,,,26,Bahnhofstrasse,Stäfa,8712,,,,,,,8,2022-02-18T03:29:32Z,POINT (2697155.5594757716 1232919.222425253),,node
police_point.385368725,385368725,police,Polizeiposten Küssnacht am Rigi (Hauptposten),Kantonspolizei Schwyz,,,,,,,,+41 41 819 53 64,,,,,kapo@sz.ch,,,,,Kapo Schwyz,,,,,,,1,Bärenmatte,Küssnacht am Rigi,6403,,,,,,,3,2023-11-21T19:50:14Z,POINT (2675836.414410816 1215466.6993066499),"SRID=3857;POLYGON((939216.6480023328 5956095.7841570275,939224.7631932114 5956080.367225644,939268.600808686 5956103.468109689,939264.426327781 5956111.871418874,939262.4559727942 5956110.743347713,939259.4169506953 5956115.876890111,939261.153534752 5956116.890519858,939255.865858939 5956123.953233637,939216.6480023328 5956095.7841570275))",way
police_point.385677188,385677188,police,Polizeiwache Schwarzenburg,Kantonspolizei Bern,,,,,,,,+41 31 368 75 01,,,,,,,"Mo,We,Fr 08:00-12:00, 14:00-17:00",,,,,,,,,,10,Bernstrasse,Schwarzenburg,3150,,,,,survey;https://www.police.be.ch/police/de/index/ueber-uns/organisation/wachen/polizeiwachen_detail.html?Gemeinde=Schwarzenburg&GdeNr=855&wID=30&spr=de&checkval=3,,5,2025-04-15T21:20:47Z,POINT (2592614.162382948 1185407.8363063752),,node
